Device_ID_DL,New_unique_id,orignal
462cab2d-f447-449c-98c0-820cd3ddcc0e,p1a,462cab2d-f447-449c-98c0-820cd3ddcc0e
6abaf4c9-5416-48f1-9f1e-7cb550a7e7b0,p2a,6abaf4c9-5416-48f1-9f1e-7cb550a7e7b0
002f06f1-e9b2-4ff7-b6ca-a3a789fbfd41,p3a,002f06f1-e9b2-4ff7-b6ca-a3a789fbfd41
14dc97ef-520e-4a62-9ee9-41bf0adda01c,p4a,"14dc97ef-520e-4a62-9ee9-41bf0adda01c, 447bd1a2-94ae-4009-babd-a15c1e5ce000"
447bd1a2-94ae-4009-babd-a15c1e5ce000,p4b,
7ee046ab-a385-4783-bd91-ad03e6f0d3c2,p5a,"7ee046ab-a385-4783-bd91-ad03e6f0d3c2, eeff5398-0a4d-48ab-9db3-d4673a51b83e"
eeff5398-0a4d-48ab-9db3-d4673a51b83e,p5b,
9de54165-a0c1-4357-bfb8-44fd35b17ea1,p6a,9de54165-a0c1-4357-bfb8-44fd35b17ea1
3316c92d-4213-472d-ba4c-06b637c3454e,p7a,"3316c92d-4213-472d-ba4c-06b637c3454e, 6b6bec1e-4ca0-4a1e-bf77-b774a126a024"
6b6bec1e-4ca0-4a1e-bf77-b774a126a024,p7b,
2980c3e6-8b1f-40da-8a3d-49fa71d78acc,p8a,2980c3e6-8b1f-40da-8a3d-49fa71d78acc
27a94c7a-959b-421b-8967-3b81bef51c3f,p9a,27a94c7a-959b-421b-8967-3b81bef51c3f
e916c5ba-e2f9-4ca4-88ba-d0263f96a1cd,p10a,"e916c5ba-e2f9-4ca4-88ba-d0263f96a1cd, f2efe643-f64c-4097-81d7-fc566d7c316c"
f2efe643-f64c-4097-81d7-fc566d7c316c,p10b,
0ea706bb-e678-4970-abb5-996f59d53291,p11a,0ea706bb-e678-4970-abb5-996f59d53291
ada73e22-92a4-4a17-8957-83cc54ba13d9,p12a,ada73e22-92a4-4a17-8957-83cc54ba13d9
fbc70387-64bd-4d19-b6d9-4240497e8ed3,p13a,fbc70387-64bd-4d19-b6d9-4240497e8ed3
3f22c4c2-1ea5-4f1d-a366-ed54eccaf8c4,p14a,"3f22c4c2-1ea5-4f1d-a366-ed54eccaf8c4, 749155bb-2878-463a-a6d5-ec26c39646b4"
749155bb-2878-463a-a6d5-ec26c39646b4,p14b,
22115f99-925c-4af8-aa13-191e31c37c2e,p15a,22115f99-925c-4af8-aa13-191e31c37c2e
6a3b2d47-9117-46e9-8fde-7540da8e1d8d,p16a,"6a3b2d47-9117-46e9-8fde-7540da8e1d8d, 14f916f1-eee8-4e08-bcd5-94266c82f164, 397bc09f-48eb-42e7-aa08-71b7386958e2"
14f916f1-eee8-4e08-bcd5-94266c82f164,p16b,
397bc09f-48eb-42e7-aa08-71b7386958e2,p16c,
f00b58da-260c-4cee-bb4f-9e10bc9473e4,p17a,"f00b58da-260c-4cee-bb4f-9e10bc9473e4, f216e43e-f174-49a7-ac4e-65fe5ff9c84b"
f216e43e-f174-49a7-ac4e-65fe5ff9c84b,p17b,
efa924fd-4583-4388-9ba8-f79a937f5a34,p18a,"efa924fd-4583-4388-9ba8-f79a937f5a34, e2e23236-5930-4fa7-96c8-988f1e16fc1d"
e2e23236-5930-4fa7-96c8-988f1e16fc1d,p18b,
59673da7-85e0-43d3-b130-b02f0ed114e9,p19a,59673da7-85e0-43d3-b130-b02f0ed114e9
ba926633-f201-4940-b823-a17779418eef,p20a,"ba926633-f201-4940-b823-a17779418eef, f2c6d23f-ad5d-4e8f-994b-2f84625dd18a"
f2c6d23f-ad5d-4e8f-994b-2f84625dd18a,p20b,
8f9fb7c2-5c31-4ab2-81e7-21f82c863160,p21a,"8f9fb7c2-5c31-4ab2-81e7-21f82c863160, 1e0f5370-3191-4d0d-8970-e3b93958cac9, ca737176-b1a7-4f31-88e0-6fad6c2f4868"
1e0f5370-3191-4d0d-8970-e3b93958cac9,p21b,
ca737176-b1a7-4f31-88e0-6fad6c2f4868,p21c,
3edfc9c9-5aab-4c40-8106-a2d9261be644,p22a,"3edfc9c9-5aab-4c40-8106-a2d9261be644, ae1ab87a-08a1-45bf-bc72-8a7e590eec23"
ae1ab87a-08a1-45bf-bc72-8a7e590eec23,p22b,
fe2afde6-6723-4471-9a27-37a1e3134fb7,p23a,fe2afde6-6723-4471-9a27-37a1e3134fb7
99d6bda0-9d10-4874-8b36-a8bd96508c53,p24a,99d6bda0-9d10-4874-8b36-a8bd96508c53
e696f9a1-f0e8-4754-a3c7-e9466b106491,p25a,"e696f9a1-f0e8-4754-a3c7-e9466b106491, aeca6086-c152-4216-bf98-1add39d584b2"
aeca6086-c152-4216-bf98-1add39d584b2,p25b,
d923002f-0956-45f0-b304-e7a841141bd0,p26a,"d923002f-0956-45f0-b304-e7a841141bd0, 5d79826c-9b95-4772-9e3a-a349c777fe26"
5d79826c-9b95-4772-9e3a-a349c777fe26,p26b,
7a6cb890-dad1-480f-8444-a4d44a8c676b,p27a,7a6cb890-dad1-480f-8444-a4d44a8c676b
692ee568-879c-4193-bd66-34553d977d28,p28a,692ee568-879c-4193-bd66-34553d977d28
a863f3ec-92e2-4cab-a1d9-b79db66835b1,p29a,a863f3ec-92e2-4cab-a1d9-b79db66835b1
637c97a2-aa3c-4b9e-a6c1-072720de9efa,p30a,637c97a2-aa3c-4b9e-a6c1-072720de9efa
d5b39fde-0a39-40e2-877e-b87f819553e2,p31a,"d5b39fde-0a39-40e2-877e-b87f819553e2, 79f0202c-684f-431b-b46e-74bcff514f8c"
79f0202c-684f-431b-b46e-74bcff514f8c,p31b,
029b146f-2505-4e24-9d1a-1d58b3e5db01,p32a,"029b146f-2505-4e24-9d1a-1d58b3e5db01, 11252361-d036-4127-909a-e405a4a10262"
11252361-d036-4127-909a-e405a4a10262,p32b,
89764882-48f5-43a1-ab5f-6f04510a2831,p33a,89764882-48f5-43a1-ab5f-6f04510a2831
e2dfa70f-7f03-4d32-92fa-5ed1d79a8209,p34a,e2dfa70f-7f03-4d32-92fa-5ed1d79a8209
fef7db47-2a23-428f-b556-f2a7e031863b,p35a,fef7db47-2a23-428f-b556-f2a7e031863b
f95dfc0d-dbd5-4be9-9460-889f171e92dd,p36a,"f95dfc0d-dbd5-4be9-9460-889f171e92dd, 0b7ddee2-63aa-4241-8dff-a5bd9a8c4de8"
0b7ddee2-63aa-4241-8dff-a5bd9a8c4de8,p36b,
92fa00b4-6e76-49d9-bd39-698fc6364c29,p37a,92fa00b4-6e76-49d9-bd39-698fc6364c29
80e07640-9061-4cb7-8e03-1e31cde4de1e,p38a,"80e07640-9061-4cb7-8e03-1e31cde4de1e, b74090dd-524e-4623-a454-37aed86ce3fd"
b74090dd-524e-4623-a454-37aed86ce3fd,p38b,
67010523-2ba4-48f5-87d9-368a4ff3ff5f,p39a,67010523-2ba4-48f5-87d9-368a4ff3ff5f
a7fee2a5-2672-4772-a4f8-71bb07c43bc9,p40a,a7fee2a5-2672-4772-a4f8-71bb07c43bc9
ba796b12-1ac4-4818-bee2-f23652260e6b,p41a,"ba796b12-1ac4-4818-bee2-f23652260e6b, a457f7c3-e7a7-4c7e-b1dc-c9d518cf1b1e, 37baec44-06f5-4369-a733-7e878932b939"
a457f7c3-e7a7-4c7e-b1dc-c9d518cf1b1e,p41b,
37baec44-06f5-4369-a733-7e878932b939,p41c,
