_id_app,timestamp_app,device_id_app,activity_name_app,activity_type_app,confidence_app,activities_app,Date_app,Time_app,_id,timestamp,device_id,double_values_0,double_values_1,double_values_2,accuracy,Date,Time
20718,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]",6/11/18,16:06:54,285285925,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,4.115661621,-8.566299438,-1.574478149,3,6/11/18,16:06:53
20719,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_bicycle,1,29,"[{""activity"":""on_bicycle"",""confidence"":29},{""activity"":""on_foot"",""confidence"":29},{""activity"":""walking"",""confidence"":29},{""activity"":""unknown"",""confidence"":22},{""activity"":""still"",""confidence"":6},{""activity"":""in_vehicle"",""confidence"":5},{""activity"":""running"",""confidence"":5},{""activity"":""unknown"",""confidence"":3},{""activity"":""unknown"",""confidence"":3}]",6/11/18,16:06:54,285285926,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.849853516,-7.124633789,-2.203979492,2,6/11/18,16:06:56
20720,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_bicycle,1,36,"[{""activity"":""on_bicycle"",""confidence"":36},{""activity"":""unknown"",""confidence"":28},{""activity"":""on_foot"",""confidence"":9},{""activity"":""walking"",""confidence"":9},{""activity"":""in_vehicle"",""confidence"":7},{""activity"":""still"",""confidence"":7},{""activity"":""running"",""confidence"":7},{""activity"":""unknown"",""confidence"":3},{""activity"":""unknown"",""confidence"":3}]",6/11/18,16:12:20,285285927,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,6.226028442,-7.031997681,-2.479324341,2,6/11/18,16:06:59
20721,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]",6/11/18,16:14:15,285285928,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.951507568,-7.075759888,-1.471405029,2,6/11/18,16:07:01
20722,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,unknown,4,40,"[{""activity"":""unknown"",""confidence"":40},{""activity"":""in_vehicle"",""confidence"":10},{""activity"":""on_bicycle"",""confidence"":10},{""activity"":""on_foot"",""confidence"":10},{""activity"":""still"",""confidence"":10},{""activity"":""walking"",""confidence"":10},{""activity"":""running"",""confidence"":10},{""activity"":""unknown"",""confidence"":5},{""activity"":""unknown"",""confidence"":5}]",6/11/18,16:14:15,285285929,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.82131958,-7.507797241,-1.999160767,2,6/11/18,16:07:04
20723,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,31,"[{""activity"":""on_foot"",""confidence"":31},{""activity"":""walking"",""confidence"":31},{""activity"":""still"",""confidence"":30},{""activity"":""in_vehicle"",""confidence"":14},{""activity"":""unknown"",""confidence"":10},{""activity"":""unknown"",""confidence"":7},{""activity"":""unknown"",""confidence"":7},{""activity"":""on_bicycle"",""confidence"":4},{""activity"":""running"",""confidence"":2}]",6/11/18,16:15:30,285285930,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.484863281,-7.867782593,-2.413986206,2,6/11/18,16:07:06
20724,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]",6/11/18,16:16:32,285285931,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.861221313,-7.718414307,-3.518783569,2,6/11/18,16:07:09
20725,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,still,3,29,"[{""activity"":""still"",""confidence"":29},{""activity"":""on_foot"",""confidence"":23},{""activity"":""walking"",""confidence"":23},{""activity"":""in_vehicle"",""confidence"":17},{""activity"":""unknown"",""confidence"":12},{""activity"":""unknown"",""confidence"":8},{""activity"":""unknown"",""confidence"":8},{""activity"":""on_bicycle"",""confidence"":4},{""activity"":""running"",""confidence"":3}]",6/11/18,16:16:32,285285932,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.058792114,-7.721084595,-3.554718018,2,6/11/18,16:07:11
20726,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,96,"[{""activity"":""in_vehicle"",""confidence"":96},{""activity"":""unknown"",""confidence"":96},{""activity"":""still"",""confidence"":2},{""activity"":""unknown"",""confidence"":1}]",6/11/18,16:17:36,285285933,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.434051514,-7.663528442,-3.117111206,2,6/11/18,16:07:14
20727,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,in_vehicle,0,39,"[{""activity"":""in_vehicle"",""confidence"":39},{""activity"":""unknown"",""confidence"":31},{""activity"":""still"",""confidence"":28},{""activity"":""unknown"",""confidence"":12},{""activity"":""on_foot"",""confidence"":9},{""activity"":""walking"",""confidence"":9},{""activity"":""unknown"",""confidence"":7},{""activity"":""on_bicycle"",""confidence"":3},{""activity"":""running"",""confidence"":3}]",6/11/18,16:18:39,285285934,1.52875E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.543334961,-7.664169312,-2.734115601,2,6/11/18,16:07:16
