_id_app,timestamp_app,device_id_app,activity_name_app,activity_type_app,confidence_app,activities_app,Date_app,Time_app,_id,timestamp,device_id,double_values_0,double_values_1,double_values_2,accuracy,Date,Time
25580,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]",6/16/18,7:20:02,319689447,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,2.581863403,-8.429916382,2.347366333,3,6/16/18,7:20:00
25581,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,91,"[{""activity"":""on_foot"",""confidence"":91},{""activity"":""walking"",""confidence"":91},{""activity"":""running"",""confidence"":5},{""activity"":""unknown"",""confidence"":2},{""activity"":""on_bicycle"",""confidence"":1},{""activity"":""still"",""confidence"":1}]",6/16/18,7:20:02,319689448,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,1.765899658,-9.812973022,4.53918457,3,6/16/18,7:20:03
25582,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,98,"[{""activity"":""on_foot"",""confidence"":98},{""activity"":""walking"",""confidence"":98},{""activity"":""unknown"",""confidence"":2}]",6/16/18,7:21:07,319689449,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.627914429,-12.28474426,6.199798584,3,6/16/18,7:20:06
25583,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,95,"[{""activity"":""on_foot"",""confidence"":95},{""activity"":""walking"",""confidence"":95},{""activity"":""unknown"",""confidence"":3},{""activity"":""running"",""confidence"":2}]",6/16/18,7:22:10,319689450,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,1.892715454,-7.786239624,2.234893799,3,6/16/18,7:20:09
25584,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,88,"[{""activity"":""on_foot"",""confidence"":88},{""activity"":""walking"",""confidence"":88},{""activity"":""running"",""confidence"":8},{""activity"":""on_bicycle"",""confidence"":2},{""activity"":""unknown"",""confidence"":2}]",6/16/18,7:22:55,319689451,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,5.357528687,-7.444076538,4.713867188,3,6/16/18,7:20:12
25585,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,77,"[{""activity"":""on_foot"",""confidence"":77},{""activity"":""walking"",""confidence"":77},{""activity"":""running"",""confidence"":20},{""activity"":""unknown"",""confidence"":3}]",6/16/18,7:23:38,319689452,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,-0.023925781,-10.66720581,3.538986206,3,6/16/18,7:20:15
25586,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]",6/16/18,7:30:31,319689453,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,3.651443481,-8.791229248,5.838485718,3,6/16/18,7:20:18
25587,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,97,"[{""activity"":""on_foot"",""confidence"":97},{""activity"":""walking"",""confidence"":97},{""activity"":""running"",""confidence"":2},{""activity"":""unknown"",""confidence"":1}]",6/16/18,7:30:31,319689454,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,1.952545166,-11.76550293,1.727615356,3,6/16/18,7:20:21
25588,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,97,"[{""activity"":""on_foot"",""confidence"":97},{""activity"":""walking"",""confidence"":97},{""activity"":""unknown"",""confidence"":3}]",6/16/18,7:31:38,319689455,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,4.948364258,-6.080169678,3.467193604,3,6/16/18,7:20:24
25589,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,tilting,5,100,"[{""activity"":""tilting"",""confidence"":100}]",6/16/18,7:32:38,319689456,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,4.991424561,6.994216919,2.964706421,3,6/16/18,7:20:27
25590,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,on_foot,2,97,"[{""activity"":""on_foot"",""confidence"":97},{""activity"":""walking"",""confidence"":97},{""activity"":""unknown"",""confidence"":2},{""activity"":""still"",""confidence"":1}]",6/16/18,7:32:38,319689457,1.53E+12,2980c3e6-8b1f-40da-8a3d-49fa71d78acc,7.0181427,-10.86102295,9.712463379,3,6/16/18,7:20:30
